iso_code,country,2022_last_updated,2020_population,density_sq_km,growth_rate,world_%,rank
SSD,South Sudan,"10,951,797","10,606,227",18/sq_km,0.0153,0.14%,86
SWE,Sweden,"10,564,056","10,368,969",23/sq_km,0.0079,0.13%,87
CZE,Czech Republic,"10,492,295","10,530,953",133/sq_km,-0.0016,0.13%,88
HND,Honduras,"10,468,957","10,121,763",93/sq_km,0.015,0.13%,89
GRC,Greece,"10,373,559","10,512,232",79/sq_km,-0.0058,0.13%,90
AZE,Azerbaijan,"10,371,262","10,284,951",120/sq_km,0.0044,0.13%,91
PRT,Portugal,"10,265,539","10,298,192",112/sq_km,-0.0019,0.13%,92
PNG,Papua New Guinea,"10,186,240","9,749,640",22/sq_km,0.0194,0.13%,93
HUN,Hungary,"10,096,395","9,750,573",107/sq_km,0.0265,0.12%,94
TJK,Tajikistan,"9,997,338","9,543,207",70/sq_km,0.0208,0.12%,95
BLR,Belarus,"9,528,022","9,633,740",46/sq_km,-0.0045,0.12%,96
ARE,United Arab Emirates,"9,458,713","9,287,289",113/sq_km,0.0081,0.12%,97
ISR,Israel,"9,069,503","8,757,489",435/sq_km,0.0155,0.11%,98
AUT,Austria,"8,944,182","8,907,777",107/sq_km,0.002,0.11%,99
TGO,Togo,"8,895,955","8,442,580",156/sq_km,0.0236,0.11%,100
CHE,Switzerland,"8,753,744","8,638,613",212/sq_km,0.0056,0.11%,101
SLE,Sierra Leone,"8,648,409","8,233,970",120/sq_km,0.022,0.11%,102
LAO,Laos,"7,553,821","7,319,399",32/sq_km,0.0141,0.09%,103
HKG,Hong Kong,"7,488,780","7,500,958","6,783/sq_km",-0.0008,0.09%,104
SRB,Serbia,"7,202,767","7,358,005",82/sq_km,-0.0103,0.09%,105
NIC,Nicaragua,"6,971,217","6,755,895",53/sq_km,0.0143,0.09%,106
LBY,Libya,"6,829,840","6,653,942",4/sq_km,0.0114,0.09%,107
BGR,Bulgaria,"6,758,029","6,979,175",61/sq_km,-0.0151,0.09%,108
PRY,Paraguay,"6,798,158","6,618,695",17/sq_km,0.0115,0.09%,109
KGZ,Kyrgyzstan,"6,654,969","6,424,874",33/sq_km,0.0158,0.08%,110
TKM,Turkmenistan,"6,450,890","6,250,438",13/sq_km,0.014,0.08%,111
SLV,El Salvador,"6,342,225","6,292,731",301/sq_km,0.0035,0.08%,112
